fecha,num,eureka1,eureka2,month_0.16666666666666666,month_0.25,month_0.3333333333333333,month_0.4166666666666667,month_0.5,month_0.5833333333333334,month_0.6666666666666666,month_0.75,month_0.8333333333333334,month_0.9166666666666666,month_1.0,day_0.16666666666666666,day_0.3333333333333333,day_0.5,day_0.6666666666666666,day_0.8333333333333334,day_1.0,Dom santo,NewYear,Constitucion,Jue santo,Vie santo,Madre,Grito,virgen,muertos,Virgen2,Navidad,nochebuena,toma,sab santo,rev,Super bowl,Mundial,año viejo,ones,t,Benito,Trabajo,elecciones,Oscar,PREBENITO,Invierno1,Primavera,verano,Otoño,Otoño2,Invierno2,calor1,calor2,frio1,frio2,fin,entre
2007-01-01,0.00020669698222405952,0.0,0.0001538412658761818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0.8792973192077964,0.0,0.0,0.0,0.12070268079220352,0.0,0.0,0.03583426651735722,0.9641657334826428,0.0,0.5,0.5
2007-01-02,0.00041339396444811904,0.004629629629629629,0.00030810022157624044,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0,0.8950694684312547,0.0,0.0,0.0,0.10493053156874528,0.0,0.0,0.03135498320268757,0.9686450167973124,0.0,0.0,1.0
2007-01-03,0.0006200909466721786,0.037037037037037035,0.00048629998515315766,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,0.9108416176547129,0.0,0.0,0.0,0.08915838234528706,0.0,0.0,0.026875699888017916,0.973124300111982,0.0,0.0,1.0
2007-01-04,0.0008267879288962381,0.125,0.0006860660391409432,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,0.9266137668781711,0.0,0.0,0.0,0.07338623312182882,0.0,0.0,0.022396416573348264,0.9776035834266518,0.0,0.0,1.0
2007-01-05,0.0010334849111202976,0.2962962962962963,0.0008897671829504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0,0.9423859161016294,0.0,0.0,0.0,0.05761408389837059,0.0,0.0,0.01791713325867861,0.9820828667413214,0.0,0.5,0.5
2007-01-06,0.0012401818933443572,0.5787037037037037,0.0010744418575697062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,0.9581580653250876,0.0,0.0,0.0,0.04184193467491235,0.0,0.0,0.013437849944008958,0.986562150055991,0.0,1.0,0.0
2007-01-07,0.0014468788755684168,1.0,0.001220939373126975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,0.9739302145485459,0.0,0.0,0.0,0.026069785451454122,0.0,0.0,0.008958566629339306,0.9910414333706606,0.0,1.0,0.0
2007-01-08,0.0016535758577924762,0.0,0.0013221916113570831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0,0,0,0,0.989702363772004,0.0,0.0,0.0,0.01029763622799589,0.0,0.0,0.004479283314669653,0.9955207166853304,0.0,0.5,0.5
2007-01-09,0.0018602728400165358,0.004629629629629629,0.0015355644470630993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,0,0,0,0,0.997335907654912,0.0026640923450879754,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2007-01-10,0.002066969822240595,0.037037037037037035,0.0016948068198840585,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,0,0,0,0,0.9896606199998039,0.010339380000195958,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.9929577464788732,0.0,0.0,1.0
